year,land,improvements,total,exemption,taxable value,total basic taxes,other charges,total
2001-2002,372000,248000,620000,7000,613000,6730.73,21.24,6751.97
2002-2003,379440,252960,632400,7000,625400,6898.16,119.24,7017.4
2003-2004,387029,258019,645048,7000,638048,7031.28,200.24,7231.52
2004-2005,394255,262836,657091,7000,650091,7248.5,200.24,7448.74
2005-2006,402140,268093,670233,7000,663233,7474.62,212.24,7686.86
2006-2007,410183,273455,683638,7000,676638,7172.14,212.46,7384.6
2007-2008,418387,278924,697311,7000,690311,7426.14,212.82,7638.96
2008-2009,426755,284502,711257,7000,704257,7647.84,237.2,7885.04
2009-2010,435290,290192,725482,7000,718482,7926.51,265.2,8191.71
2010-2011,434258,289504,723762,7000,716762,7805.05,265.54,8070.59
2011-2012,437528,291684,729212,7000,722212,7923.78,265.76,8189.54
2012-2013,420360,280240,700600,7000,693600,7624.34,265.76,7890.1
2013-2014,437174,291450,728624,7000,721624,7892.94,291.06,8184
2014-2015,459832,304846,764678,0,764678,8292.04,291.42,8583.46
2015-2016,469019,310937,779956,7000,772956,8363.08,291.76,8654.84
2016-2017,476172,315679,791851,7000,784851,8440.76,413.7,8854.46
2017-2018,485695,321993,807688,7000,800688,8961.88,414.18,9376.06
